"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",1.7,2,1,"Hoeffding",0.1774,0.00382006858577173,0.0208799014517925,10000,10000
50,"linear",1.7,2,1,"dCov",0.1906,0.00392774286327402,0.329675434929268,10000,10000
50,"linear",1.7,2,1,"HHG",0.1153,0.00319383640783306,3464.61441453952,10000,10000
50,"linear",1.7,2,1,"Genest",0.1846,0.00387972731000518,0.0576099342222207,10000,10000
50,"linear",1.7,2,1,"MIC",0.0816,0.00273754342431312,0.40103044299842,10000,10000
50,"linear",1.8,2,2,"B_n",0.1049,0.00306424525780819,9.45830995808489,10000,10000
50,"linear",1.8,2,2,"P_n",0.1037,0.00304870972708128,9.39052672136874,10000,10000
50,"linear",1.8,2,2,"Hoeffding",0.1536,0.00360564890137684,0.0212948847439068,10000,10000
50,"linear",1.8,2,2,"dCov",0.1684,0.00374221111109462,0.330423946790574,10000,10000
50,"linear",1.8,2,2,"HHG",0.0988,0.00298393297511858,3494.7832136449,10000,10000
50,"linear",1.8,2,2,"Genest",0.1617,0.00368175379404979,0.0579553902222201,10000,10000
50,"linear",1.8,2,2,"MIC",0.0815,0.00273601443709641,0.4,10000,10000
50,"linear",1.8,2,1,"B_n",0.1509,0.00357951379379938,5.83291717389842,10000,10000
50,"linear",1.8,2,1,"P_n",0.1509,0.00357951379379938,5.83562869787309,10000,10000
50,"linear",1.8,2,1,"Hoeffding",0.1701,0.00375720627594493,0.0202033972701014,10000,10000
50,"linear",1.8,2,1,"dCov",0.1858,0.0038894518894055,0.325871195692055,10000,10000
50,"linear",1.8,2,1,"HHG",0.1249,0.00330605489972565,3410.61144394216,10000,10000
50,"linear",1.8,2,1,"Genest",0.1715,0.0037694528780713,0.0568678542222213,10000,10000
50,"linear",1.8,2,1,"MIC",0.0784,0.002688,0.4,10000,10000
50,"linear",1.9,2,2,"B_n",0.1056,0.00307324974579028,9.40395937810852,10000,10000
50,"linear",1.9,2,2,"P_n",0.1054,0.0030706813576143,9.29159737563026,10000,10000
50,"linear",1.9,2,2,"Hoeffding",0.1592,0.00365862487828419,0.0204028063584361,10000,10000
50,"linear",1.9,2,2,"dCov",0.1689,0.00374663569085653,0.32831127496019,10000,10000
50,"linear",1.9,2,2,"HHG",0.112,0.00315366453510832,3420.40629928925,10000,10000
50,"linear",1.9,2,2,"Genest",0.1637,0.00370003121608454,0.0573102542222192,10000,10000
50,"linear",1.9,2,2,"MIC",0.0727,0.002596434285708,0.401925020811018,10000,10000
50,"linear",1.9,2,1,"B_n",0.1399,0.00346883251253213,5.90540451182131,10000,10000
50,"linear",1.9,2,1,"P_n",0.1399,0.00346883251253213,5.90369019784477,10000,10000
50,"linear",1.9,2,1,"Hoeffding",0.1575,0.00364271533337427,0.0203814731257906,10000,10000
50,"linear",1.9,2,1,"dCov",0.1666,0.00372618357035721,0.329792265677042,10000,10000
50,"linear",1.9,2,1,"HHG",0.1035,0.00304610817273451,3450.4859627261,10000,10000
50,"linear",1.9,2,1,"Genest",0.1629,0.00369274410161332,0.0571859502222227,10000,10000
50,"linear",1.9,2,1,"MIC",0.0785,0.00268956780914704,0.400978473822742,10000,10000
50,"linear",2,2,2,"B_n",0.0915,0.00288318833932159,9.374856927893,10000,10000
50,"linear",2,2,2,"P_n",0.0906,0.00287039439798784,9.31525011359523,10000,10000
50,"linear",2,2,2,"Hoeffding",0.1426,0.00349664467740147,0.0206817194963092,10000,10000
50,"linear",2,2,2,"dCov",0.1538,0.00360756926475432,0.328801156652258,10000,10000
50,"linear",2,2,2,"HHG",0.0927,0.00290011568734766,3474.78334340622,10000,10000
50,"linear",2,2,2,"Genest",0.1449,0.00351999985795454,0.0575234702222178,10000,10000
50,"linear",2,2,2,"MIC",0.0692,0.00253793932157568,0.401964606290568,10000,10000
50,"linear",2,2,1,"B_n",0.1268,0.0033274879413756,5.97334733234359,10000,10000
50,"linear",2,2,1,"P_n",0.1268,0.0033274879413756,5.96738939457951,10000,10000
50,"linear",2,2,1,"Hoeffding",0.1476,0.00354703030717247,0.0207988398874813,10000,10000
50,"linear",2,2,1,"dCov",0.1578,0.00364553370578301,0.328980791986016,10000,10000
50,"linear",2,2,1,"HHG",0.102,0.00302648310750283,3450.68843473291,10000,10000
50,"linear",2,2,1,"Genest",0.1512,0.00358243715925346,0.0571308462222216,10000,10000
50,"linear",2,2,1,"MIC",0.077,0.00266591447724791,0.398003041353036,10000,10000
50,"quadratic",0.1,2,2,"B_n",1,0,9.4715770885712,10000,10000
50,"quadratic",0.1,2,2,"P_n",1,0,9.36036546359258,10000,10000
50,"quadratic",0.1,2,2,"Hoeffding",1,0,0.0205070654533784,10000,10000
